id,year,month,title,series,thumbnail,writer,penciler,inker,letterer,description,grade,CGC
11328,1966,10,Tales of Suspense  #82,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/6/60/5e42ff261d723/portrait_uncanny.jpg,Stan Lee,"Gene Colan, Jack Kirby",Frank Giacoia,Art Simek,"Tony Stark flies into Washington D.C. to present himself to the hearing in his Iron Man armor, however on the way he is attacked by the newly revived Titanium Man who was launched into Washington D.C. by the Soviets.",4.5,
8196,1966,10,Daredevil  #21,Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/5/60/57221bacf2312/portrait_uncanny.jpg,Stan Lee,Gene Colan,"Dick Ayers, Bill Everett, Frank Giacoia",Art Simek,"Daredevil continues to battle the Owl in his Owl Airie despite an impending volcanic eruption. With this situation heating up quite literally, will Daredevil be able to escape with his life? The Owl sharpens his beak when he unleashes an owl robot on DD and Judge Lewis!",2.5,
12472,1966,10,Uncanny X-Men  #25,Uncanny X-Men,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/58a22156b34f1/portrait_uncanny.jpg,Roy Thomas,Werner Roth,Dick Ayers,Sam Rosen,"El Tigre seeks the power of a god, and the X-Men are in his way! With Marvel Girl gone from their ranks, do they have a prayer of stopping him?",7,
13262,1966,11,Fantastic Four  #56,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/f/20/5ab021b8dcf9f/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,Art Simek,"Ulysses Klaw returns for revenge! Following his defeat in Wakanda at the hands of the FF, Klaw attacks the Baxter Balding armed with sonic super powers! While attempting to escape from the Hidden Land, the Inhumans have an unfortunate accident.",7,
11462,1966,11,Thor  #134,Thor,http://i.annihil.us/u/prod/marvel/i/mg/0/04/4f6762df6ccfd/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,"Sam Rosen, Art Simek","Jane Foster, under the employ of the High Evolutionary! Thor discovers the brutish and strange science of the High Evolutionary while trailing Jane in Wundagore. Scarlet Witch and Quicksilver make an appearance!",7,
11073,1966,11,Strange Tales  #150,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/c/03/66436e235276d/portrait_uncanny.jpg,Stan Lee,"John Buscema, Jack Kirby",Frank Giacoia,Sam Rosen,Hydra employs some new methods in taking down S.H.I.E.L.D. HQ. Will Fury walk straight into a trap? Doctor Strange and the Ancient One begin their quest to find the Book of Vishanti. First stop? Ancient Babylonia!,2.5,
11329,1966,11,Tales of Suspense  #83,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/5e43003ab4892/portrait_uncanny.jpg,Stan Lee,"Gene Colan, Jack Kirby","Jack Abel, Dick Ayers","Sam Rosen, Art Simek","While battling the Titanium Man in Washington D.C., Iron Man soon finds that Pepper Potts, the girl he loves, is caught in the Titanium Man's paralyzer ray.",3.5,
8698,1964,9,Fantastic Four Annual  #2,Fantastic Four Annual,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/5ad790a5a5116/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Chic Stone,Sam Rosen,"A special double-sized issue! Double the action! Double the terror! Doctor Doom has the Fantastic Four right where he wants them. Will the FF be able to stand against their menace? Also featuring the twisted back story of Doctor Doom, the Fantastic Four's cruelest nemesis to date.",6.5,
11432,1966,11,Tales to Astonish  #85,Tales to Astonish,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/536d4526c69a6/portrait_uncanny.jpg,Stan Lee,John Buscema,John Tartaglione,,"Hulk is being hunted in New York City, which turns into quite a debacle when his rage is worked up. Is being a household name all it's cracked up to be?",1.5,
8707,1965,10,Fantastic Four Annual  #3,Fantastic Four Annual,http://i.annihil.us/u/prod/marvel/i/mg/b/80/5ad79a13aa41a/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,Art Simek,"The wedding of Sue and Reed! Note: This 24-page digital comic features the original content from this issue, and does not include the reprints of Fantastic Four #6 & #11 that appeared in the 1965 print edition.",5.5,
